Time,Open,High,Low,Close,Volume
2024-03-28 01:00:00+00:00,1.08176,1.08192,1.0815,1.0818,2070.0
2024-03-28 02:00:00+00:00,1.0818,1.08261,1.08176,1.08223,1877.0
2024-03-28 03:00:00+00:00,1.08223,1.08243,1.08213,1.08216,1315.0
2024-03-28 04:00:00+00:00,1.08216,1.08244,1.08204,1.08238,816.0
2024-03-28 05:00:00+00:00,1.08238,1.08268,1.0822,1.0824,1567.0
2024-03-28 06:00:00+00:00,1.0824,1.0824,1.0815,1.08181,1564.0
2024-03-28 07:00:00+00:00,1.08181,1.08187,1.08004,1.0801,2871.0
2024-03-28 08:00:00+00:00,1.0801,1.08022,1.07898,1.07921,3211.0
2024-03-28 09:00:00+00:00,1.07921,1.07922,1.0775,1.07756,2669.0
2024-03-28 10:00:00+00:00,1.07756,1.0793,1.0775,1.07892,3111.0
2024-03-28 11:00:00+00:00,1.07892,1.07949,1.07826,1.07841,2039.0
2024-03-28 12:00:00+00:00,1.07841,1.0809,1.07838,1.08082,4594.0
2024-03-28 13:00:00+00:00,1.08082,1.08181,1.0803,1.08124,4457.0
2024-03-28 14:00:00+00:00,1.08124,1.08189,1.07976,1.08002,5809.0
2024-03-28 15:00:00+00:00,1.08002,1.08076,1.07939,1.08014,4229.0
2024-03-28 16:00:00+00:00,1.08014,1.08054,1.0793,1.07993,3406.0
2024-03-28 17:00:00+00:00,1.07993,1.0802,1.07951,1.07963,2438.0
2024-03-28 18:00:00+00:00,1.07963,1.07986,1.0786,1.07874,1859.0
2024-03-28 19:00:00+00:00,1.07874,1.07895,1.07846,1.07882,1803.0
2024-03-28 20:00:00+00:00,1.07882,1.07891,1.07851,1.07876,940.0
2024-03-28 21:00:00+00:00,1.07876,1.07911,1.07876,1.0789,6133.0
2024-03-28 22:00:00+00:00,1.0789,1.07949,1.0788,1.07886,2963.0
2024-03-28 23:00:00+00:00,1.07886,1.07926,1.07871,1.07912,4621.0
2024-03-29 00:00:00+00:00,1.07912,1.07914,1.07842,1.07844,5001.0
2024-03-29 01:00:00+00:00,1.07844,1.0785,1.0776,1.0776,1779.0
2024-03-29 02:00:00+00:00,1.0776,1.07797,1.0774,1.0779,3463.0
2024-03-29 03:00:00+00:00,1.0779,1.07794,1.07746,1.07747,1372.0
2024-03-29 04:00:00+00:00,1.07747,1.07772,1.07746,1.07768,1725.0
2024-03-29 05:00:00+00:00,1.07768,1.07779,1.07742,1.07754,1415.0
2024-03-29 06:00:00+00:00,1.07754,1.07772,1.07746,1.07759,1584.0
2024-03-29 07:00:00+00:00,1.07759,1.07824,1.07682,1.07684,2505.0
2024-03-29 08:00:00+00:00,1.07684,1.0779,1.07684,1.07788,2829.0
2024-03-29 09:00:00+00:00,1.07788,1.07828,1.0773,1.07828,3080.0
2024-03-29 10:00:00+00:00,1.07828,1.07886,1.07822,1.07851,3137.0
2024-03-29 11:00:00+00:00,1.07851,1.07918,1.07845,1.07872,3232.0
2024-03-29 12:00:00+00:00,1.07872,1.08058,1.07823,1.07986,3449.0
2024-03-29 13:00:00+00:00,1.07986,1.08039,1.07944,1.07983,4050.0
2024-03-29 14:00:00+00:00,1.07983,1.08,1.07946,1.07961,2026.0
2024-03-29 15:00:00+00:00,1.07961,1.07969,1.07885,1.07925,4460.0
2024-03-29 16:00:00+00:00,1.07925,1.0793,1.07874,1.07886,2225.0
2024-03-29 17:00:00+00:00,1.07886,1.07896,1.07882,1.0789,1651.0
2024-03-29 18:00:00+00:00,1.0789,1.07907,1.07886,1.07902,3155.0
2024-03-29 19:00:00+00:00,1.07902,1.07942,1.07889,1.07913,2575.0
2024-03-29 20:00:00+00:00,1.07913,1.07987,1.07908,1.07932,2994.0
2024-03-31 21:00:00+00:00,1.07932,1.07966,1.07915,1.07934,408.0
2024-03-31 22:00:00+00:00,1.07934,1.07974,1.07857,1.07869,1585.0
2024-03-31 23:00:00+00:00,1.07869,1.07946,1.07855,1.07932,2081.0
2024-04-01 00:00:00+00:00,1.07932,1.07989,1.07902,1.07914,3107.0
2024-04-01 01:00:00+00:00,1.07914,1.07948,1.07857,1.07869,2322.0
2024-04-01 02:00:00+00:00,1.07869,1.07898,1.0785,1.0788,1372.0
2024-04-01 03:00:00+00:00,1.0788,1.07915,1.07846,1.07904,1263.0
